customer_id,city,gender,loyalty_tier,age,recency,frequency,monetary,avg_order_value,total_quantity,total_order,cancel_count,cancel_rate,avg_discount,avg_shipping_cost,cluster,cluster_label
CUST-000001,Jakarta,Male,Bronze,24,173,5,4764800.0,952960.0,6,5,0,0.0,3.0,12400.0,2,Low Engagement Customer
CUST-000002,Jakarta,Female,Gold,39,2,56,24633900.0,439891.0,75,73,11,0.1507,9.93,11315.0,0,High Value Customer
CUST-000003,Bandung,Female,Gold,43,42,13,8718000.0,670615.0,25,14,1,0.0714,10.0,12143.0,2,Low Engagement Customer
CUST-000004,Surabaya,Female,Bronze,41,56,8,4622800.0,577850.0,12,10,1,0.1,5.5,12900.0,2,Low Engagement Customer
CUST-000005,Balikpapan,Female,Bronze,28,48,4,2027500.0,506875.0,4,5,1,0.2,15.0,13400.0,1,At Risk Customer
CUST-000006,Malang,Male,Bronze,18,85,5,3598800.0,719760.0,9,5,0,0.0,6.0,13800.0,2,Low Engagement Customer
CUST-000007,Depok,Female,Bronze,37,90,5,5180400.0,1036080.0,9,5,0,0.0,3.0,11000.0,2,Low Engagement Customer
CUST-000008,Bekasi,Female,Silver,30,159,3,1500200.0,500067.0,3,5,2,0.4,8.0,11800.0,1,At Risk Customer
CUST-000009,Surabaya,Female,Silver,23,394,3,535400.0,178467.0,3,5,1,0.2,12.0,12200.0,1,At Risk Customer
CUST-000010,Palembang,Female,Platinum,26,227,4,1117300.0,279325.0,7,5,0,0.0,12.0,10600.0,2,Low Engagement Customer
CUST-000011,Jakarta,Male,Bronze,44,24,5,2262900.0,452580.0,5,5,0,0.0,13.0,14200.0,2,Low Engagement Customer
CUST-000012,Malang,Unknown,Bronze,21,45,5,5616500.0,1123300.0,8,5,0,0.0,6.0,8200.0,2,Low Engagement Customer
CUST-000013,Palembang,Female,Platinum,36,8,159,94623400.0,595116.0,218,195,23,0.1179,10.92,12236.0,3,Top Spender
CUST-000014,Surabaya,Male,Silver,33,65,14,4597600.0,328400.0,17,19,3,0.1579,11.05,14000.0,2,Low Engagement Customer
CUST-000015,Tangerang,Male,Bronze,28,138,4,2387700.0,596925.0,7,5,0,0.0,19.0,10800.0,2,Low Engagement Customer
CUST-000016,Jakarta,Female,Bronze,37,42,3,2232400.0,744133.0,5,5,1,0.2,6.0,14600.0,1,At Risk Customer
CUST-000017,Unknown,Male,Bronze,31,282,3,494200.0,164733.0,3,5,1,0.2,12.0,7200.0,1,At Risk Customer
CUST-000018,Balikpapan,Female,Gold,29,14,44,26451300.0,601166.0,65,50,4,0.08,11.8,12040.0,0,High Value Customer
CUST-000019,Surabaya,Male,Bronze,29,167,5,3048600.0,609720.0,6,5,0,0.0,5.0,10600.0,2,Low Engagement Customer
CUST-000020,Palembang,Female,Platinum,37,166,9,1248100.0,138678.0,13,14,4,0.2857,11.07,14071.0,1,At Risk Customer
CUST-000021,Bandung,Female,Bronze,40,359,4,542600.0,135650.0,4,5,0,0.0,26.0,11800.0,2,Low Engagement Customer
CUST-000022,Bandung,Male,Platinum,30,2,185,112958700.0,610588.0,252,217,18,0.0829,10.55,12687.0,3,Top Spender
CUST-000023,Tangerang,Male,Gold,29,113,14,11964800.0,854629.0,20,19,2,0.1053,4.74,13789.0,2,Low Engagement Customer
CUST-000024,Bali,Male,Bronze,18,161,4,807900.0,201975.0,4,5,1,0.2,6.0,13000.0,1,At Risk Customer
CUST-000025,Jakarta,Male,Bronze,24,225,4,681700.0,170425.0,5,5,1,0.2,12.0,13800.0,1,At Risk Customer
CUST-000026,Surabaya,Female,Platinum,21,21,14,4854100.0,346721.0,21,19,4,0.2105,5.79,13842.0,1,At Risk Customer
CUST-000027,Medan,Male,Silver,38,21,29,13058500.0,450293.0,42,37,5,0.1351,11.76,12541.0,0,High Value Customer
CUST-000028,Semarang,Female,Gold,29,14,22,14221100.0,646414.0,32,32,6,0.1875,10.47,12156.0,0,High Value Customer
CUST-000029,Medan,Female,Silver,29,48,15,11082500.0,738833.0,20,19,2,0.1053,7.63,12632.0,2,Low Engagement Customer
CUST-000030,Bekasi,Male,Bronze,31,221,5,2243700.0,448740.0,6,5,0,0.0,10.0,14000.0,2,Low Engagement Customer
CUST-000031,Tangerang,Female,Gold,24,43,37,15682900.0,423862.0,56,50,8,0.16,11.4,11920.0,0,High Value Customer
CUST-000032,Bandung,Male,Silver,45,146,16,7201200.0,450075.0,21,19,3,0.1579,7.89,11526.0,2,Low Engagement Customer
CUST-000033,Jakarta,Male,Silver,43,194,5,3146800.0,629360.0,5,5,0,0.0,11.0,15600.0,2,Low Engagement Customer
CUST-000034,Jakarta,Female,Silver,46,115,12,6374500.0,531208.0,16,14,1,0.0714,8.57,12786.0,2,Low Engagement Customer
CUST-000035,Medan,Unknown,Bronze,38,360,4,541200.0,135300.0,4,5,0,0.0,16.0,14200.0,2,Low Engagement Customer
CUST-000036,Bali,Female,Gold,31,10,60,39277600.0,654627.0,82,77,12,0.1558,8.38,12623.0,0,High Value Customer
CUST-000037,Makassar,Male,Bronze,46,116,4,1192100.0,298025.0,4,5,1,0.2,17.0,13600.0,1,At Risk Customer
CUST-000038,Makassar,Male,Silver,25,147,9,5261100.0,584567.0,9,10,0,0.0,8.5,13800.0,2,Low Engagement Customer
CUST-000039,Depok,Female,Bronze,24,70,8,1730700.0,216338.0,9,10,2,0.2,14.0,11400.0,1,At Risk Customer
CUST-000040,Jakarta,Male,Silver,26,65,19,7717000.0,406158.0,26,23,4,0.1739,13.91,14130.0,2,Low Engagement Customer
CUST-000041,Jakarta,Male,Bronze,36,20,5,1551100.0,310220.0,6,5,0,0.0,20.0,8200.0,2,Low Engagement Customer
CUST-000042,Bandung,Male,Bronze,25,39,7,2034000.0,290571.0,8,10,2,0.2,6.0,14700.0,1,At Risk Customer
CUST-000043,Bogor,Male,Bronze,30,100,1,301900.0,301900.0,1,5,2,0.4,8.0,15800.0,1,At Risk Customer
CUST-000044,Yogyakarta,Female,Bronze,18,278,5,764600.0,152920.0,6,5,0,0.0,13.0,11800.0,2,Low Engagement Customer
CUST-000045,Palembang,Male,Bronze,36,90,5,1026800.0,205360.0,6,5,0,0.0,7.0,8400.0,2,Low Engagement Customer
CUST-000046,Bandung,Female,Bronze,18,161,4,720000.0,180000.0,4,5,0,0.0,6.0,13400.0,2,Low Engagement Customer
CUST-000047,Makassar,Male,Silver,23,153,9,3829000.0,425444.0,10,14,3,0.2143,13.57,12857.0,1,At Risk Customer
CUST-000048,Surabaya,Female,Bronze,42,150,3,815200.0,271733.0,5,5,2,0.4,12.0,12200.0,1,At Risk Customer
CUST-000049,Palembang,Female,Bronze,42,171,3,2743300.0,914433.0,4,5,0,0.0,3.0,14000.0,2,Low Engagement Customer
CUST-000050,Bandung,Male,Gold,35,3,100,62147600.0,621476.0,135,127,18,0.1417,9.72,13024.0,3,Top Spender
CUST-000051,Unknown,Unknown,Bronze,34,92,4,874700.0,218675.0,5,5,0,0.0,9.0,11800.0,2,Low Engagement Customer
CUST-000052,Jakarta,Female,Bronze,27,70,5,6165100.0,1233020.0,7,5,0,0.0,5.0,11800.0,2,Low Engagement Customer
CUST-000053,Unknown,Female,Bronze,25,509,3,1857200.0,619067.0,5,5,1,0.2,10.0,14200.0,1,At Risk Customer
CUST-000054,Depok,Female,Bronze,28,231,3,3187800.0,1062600.0,4,5,1,0.2,7.0,16800.0,1,At Risk Customer
CUST-000055,Jakarta,Female,Gold,18,6,7,7472600.0,1067514.0,12,10,2,0.2,9.5,13000.0,1,At Risk Customer
CUST-000056,Bekasi,Female,Bronze,34,60,4,895000.0,223750.0,4,5,0,0.0,12.0,16200.0,2,Low Engagement Customer
CUST-000057,Bekasi,Female,Silver,32,31,11,2375300.0,215936.0,12,14,3,0.2143,5.36,10857.0,1,At Risk Customer
CUST-000058,Depok,Male,Bronze,23,273,4,2346700.0,586675.0,5,5,1,0.2,10.0,6000.0,1,At Risk Customer
CUST-000059,Palembang,Male,Bronze,46,568,3,450700.0,150233.0,3,5,1,0.2,9.0,13600.0,1,At Risk Customer
CUST-000060,Surabaya,Male,Silver,37,44,10,3605300.0,360530.0,15,14,4,0.2857,3.57,12714.0,1,At Risk Customer
CUST-000061,Bali,Male,Silver,38,42,4,844900.0,211225.0,4,5,1,0.2,8.0,10200.0,1,At Risk Customer
CUST-000062,Surabaya,Male,Silver,27,64,5,3351500.0,670300.0,5,5,0,0.0,8.0,11800.0,2,Low Engagement Customer
CUST-000063,Jakarta,Female,Bronze,31,160,5,2104600.0,420920.0,8,5,0,0.0,5.0,15200.0,2,Low Engagement Customer
CUST-000064,Semarang,Male,Platinum,37,27,31,9433800.0,304316.0,41,37,3,0.0811,9.73,14595.0,0,High Value Customer
CUST-000065,Bandung,Male,Bronze,31,41,5,2474600.0,494920.0,6,5,0,0.0,13.0,7800.0,2,Low Engagement Customer
CUST-000066,Bali,Female,Silver,46,7,16,11462400.0,716400.0,21,19,2,0.1053,8.68,12474.0,2,Low Engagement Customer
CUST-000067,Medan,Male,Silver,30,11,16,3823600.0,238975.0,17,19,3,0.1579,8.95,13368.0,2,Low Engagement Customer
CUST-000068,Jakarta,Female,Bronze,27,48,3,668200.0,222733.0,4,5,1,0.2,6.0,15800.0,1,At Risk Customer
CUST-000069,Malang,Male,Bronze,31,70,8,5545800.0,693225.0,10,10,0,0.0,8.5,9800.0,2,Low Engagement Customer
CUST-000070,Medan,Unknown,Bronze,20,373,4,6751900.0,1687975.0,6,5,1,0.2,9.0,14400.0,1,At Risk Customer
CUST-000071,Medan,Female,Platinum,40,18,45,19418100.0,431513.0,58,50,3,0.06,9.2,12840.0,0,High Value Customer
CUST-000072,Bandung,Male,Gold,20,14,28,9125100.0,325896.0,30,32,3,0.0938,12.97,13250.0,0,High Value Customer
CUST-000073,Bekasi,Male,Bronze,37,26,5,2542800.0,508560.0,6,5,0,0.0,10.0,11800.0,2,Low Engagement Customer
CUST-000074,Surabaya,Female,Bronze,26,11,8,7854500.0,981812.0,14,10,1,0.1,8.5,16800.0,2,Low Engagement Customer
CUST-000075,Jakarta,Female,Bronze,36,18,17,8695700.0,511512.0,21,19,0,0.0,13.68,10421.0,2,Low Engagement Customer
CUST-000076,Medan,Female,Gold,40,210,3,879100.0,293033.0,4,5,1,0.2,9.0,16800.0,1,At Risk Customer
CUST-000077,Bali,Female,Bronze,33,280,4,3321000.0,830250.0,5,5,1,0.2,12.0,12200.0,1,At Risk Customer
CUST-000078,Surabaya,Male,Bronze,21,16,19,7893100.0,415426.0,21,23,2,0.087,10.65,10565.0,2,Low Engagement Customer
CUST-000079,Surabaya,Male,Silver,23,3,24,13436100.0,559838.0,32,28,2,0.0714,9.64,11143.0,0,High Value Customer
CUST-000080,Depok,Male,Gold,25,8,55,28790700.0,523467.0,68,68,8,0.1176,8.9,13382.0,0,High Value Customer
CUST-000081,Tangerang,Female,Silver,18,39,16,10068000.0,629250.0,21,28,9,0.3214,10.71,12357.0,1,At Risk Customer
CUST-000082,Bandung,Female,Bronze,31,187,5,1281100.0,256220.0,6,5,0,0.0,10.0,11400.0,2,Low Engagement Customer
CUST-000083,Bekasi,Male,Gold,32,66,3,424600.0,141533.0,6,5,1,0.2,6.0,5400.0,1,At Risk Customer
CUST-000084,Jakarta,Male,Bronze,21,96,3,426100.0,142033.0,5,5,1,0.2,16.0,9800.0,1,At Risk Customer
CUST-000085,Bandung,Male,Silver,45,70,2,3023500.0,1511750.0,2,5,3,0.6,10.0,7800.0,1,At Risk Customer
CUST-000086,Bandung,Male,Bronze,25,18,4,846000.0,211500.0,4,5,1,0.2,13.0,12600.0,1,At Risk Customer
CUST-000087,Surabaya,Female,Silver,34,373,5,2600700.0,520140.0,8,5,0,0.0,11.0,13600.0,2,Low Engagement Customer
CUST-000088,Jakarta,Female,Bronze,24,395,4,2050100.0,512525.0,4,5,1,0.2,14.0,14600.0,1,At Risk Customer
CUST-000089,Surabaya,Female,Bronze,18,313,3,951300.0,317100.0,6,5,0,0.0,10.0,12400.0,2,Low Engagement Customer
CUST-000090,Jakarta,Male,Silver,19,11,16,10284100.0,642756.0,25,19,3,0.1579,12.63,14789.0,2,Low Engagement Customer
CUST-000091,Depok,Male,Gold,27,340,3,438100.0,146033.0,3,5,1,0.2,10.0,10600.0,1,At Risk Customer
CUST-000092,Palembang,Female,Gold,40,112,13,7626400.0,586646.0,16,19,3,0.1579,12.37,13789.0,2,Low Engagement Customer
CUST-000093,Medan,Female,Bronze,35,40,9,4640900.0,515656.0,10,10,1,0.1,3.5,12600.0,2,Low Engagement Customer
CUST-000094,Surabaya,Female,Gold,33,61,19,4448400.0,234126.0,23,23,0,0.0,10.43,11174.0,2,Low Engagement Customer
CUST-000095,Bandung,Male,Silver,18,47,5,2602800.0,520560.0,7,5,0,0.0,12.0,16000.0,2,Low Engagement Customer
CUST-000096,Bali,Female,Bronze,43,23,4,943600.0,235900.0,6,5,1,0.2,12.0,14200.0,1,At Risk Customer
CUST-000097,Semarang,Female,Silver,34,59,14,11544800.0,824629.0,18,14,0,0.0,7.14,10929.0,2,Low Engagement Customer
CUST-000098,Depok,Male,Bronze,31,32,5,3009800.0,601960.0,8,5,0,0.0,22.0,12400.0,2,Low Engagement Customer
CUST-000099,Surabaya,Male,Bronze,42,78,4,3085500.0,771375.0,9,5,0,0.0,7.0,11000.0,2,Low Engagement Customer
CUST-000100,Unknown,Male,Gold,43,47,5,403700.0,80740.0,5,5,0,0.0,4.0,16600.0,2,Low Engagement Customer
CUST-000101,Jakarta,Male,Bronze,42,358,5,4719200.0,943840.0,5,5,0,0.0,16.0,10800.0,2,Low Engagement Customer
CUST-000102,Medan,Female,Bronze,29,124,4,2088600.0,522150.0,6,5,1,0.2,15.0,12800.0,1,At Risk Customer
CUST-000103,Depok,Male,Platinum,22,1,143,81894000.0,572685.0,191,186,22,0.1183,8.76,11613.0,3,Top Spender
CUST-000104,Tangerang,Female,Bronze,40,46,5,3067600.0,613520.0,5,5,0,0.0,9.0,14400.0,2,Low Engagement Customer
CUST-000105,Depok,Female,Bronze,19,279,3,1200400.0,400133.0,4,5,1,0.2,12.0,8400.0,1,At Risk Customer
CUST-000106,Bali,Male,Gold,32,549,4,1062800.0,265700.0,5,5,0,0.0,17.0,14600.0,2,Low Engagement Customer
