customer_id,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment,Cluster_Label,gender,age,age_group,city,loyalty_tier,tenure_hari
CUST-000001,174,5,4764800.0,2,3,4,9,At Risk,Inactive / Churned,Male,24,Gen Z (18–24),Jakarta,Bronze,405
CUST-000002,3,56,24633900.0,5,5,5,15,Champions,VIP — High Spender,Female,39,Gen X (35–44),Jakarta,Gold,1199
CUST-000003,43,12,4153200.0,4,4,4,12,Champions,Occasional Buyer,Female,43,Gen X (35–44),Bandung,Gold,653
CUST-000004,57,8,4622800.0,4,4,4,12,Champions,Occasional Buyer,Female,41,Gen X (35–44),Surabaya,Bronze,607
CUST-000005,49,4,2027500.0,4,2,3,9,New Customers,Occasional Buyer,Male,28,Millennial (25–34),Balikpapan,Bronze,1219
CUST-000006,86,5,3598800.0,3,3,4,10,Loyal Customers,Occasional Buyer,Male,18,Gen Z (18–24),Malang,Bronze,1219
CUST-000007,91,5,5180400.0,3,3,4,10,Loyal Customers,Occasional Buyer,Female,37,Gen X (35–44),Depok,Bronze,591
CUST-000008,160,3,1500200.0,2,1,2,5,Hibernating,Inactive / Churned,Female,30,Millennial (25–34),Bekasi,Silver,560
CUST-000009,395,3,535400.0,1,1,1,3,Lost,Inactive / Churned,Female,23,Gen Z (18–24),Surabaya,Silver,458
CUST-000010,228,4,1117300.0,2,2,2,6,Hibernating,Inactive / Churned,Female,26,Millennial (25–34),Palembang,Platinum,583
CUST-000011,25,5,2262900.0,4,3,3,10,Potential Loyalists,Occasional Buyer,Male,44,Gen X (35–44),Jakarta,Bronze,1061
CUST-000012,46,4,685600.0,4,2,1,7,New Customers,Inactive / Churned,Unknown,21,Gen Z (18–24),Malang,Bronze,406
CUST-000013,9,154,80004800.0,5,5,5,15,Champions,VIP — High Spender,Female,36,Gen X (35–44),Palembang,Platinum,1037
CUST-000014,66,14,4597600.0,4,4,4,12,Champions,Occasional Buyer,Male,33,Millennial (25–34),Surabaya,Silver,623
CUST-000015,139,4,2387700.0,2,2,3,7,Hibernating,Inactive / Churned,Male,28,Millennial (25–34),Tangerang,Bronze,801
CUST-000016,43,3,2232400.0,4,1,3,8,New Customers,Occasional Buyer,Male,37,Gen X (35–44),Jakarta,Bronze,1167
CUST-000017,283,3,494200.0,1,1,1,3,Lost,Inactive / Churned,Male,46,Baby Boomer (45–54),Bandung,Bronze,443
CUST-000018,15,43,18782600.0,5,5,5,15,Champions,VIP — High Spender,Female,29,Millennial (25–34),Balikpapan,Gold,748
CUST-000019,168,5,3048600.0,2,3,4,9,At Risk,Occasional Buyer,Male,29,Millennial (25–34),Surabaya,Bronze,1195
CUST-000020,167,8,1241900.0,2,4,2,8,At Risk,Occasional Buyer,Male,37,Gen X (35–44),Palembang,Platinum,932
CUST-000021,360,4,542600.0,1,2,1,4,Lost,Inactive / Churned,Female,40,Gen X (35–44),Bandung,Bronze,589
CUST-000022,3,178,80113100.0,5,5,5,15,Champions,VIP — High Spender,Male,30,Millennial (25–34),Bandung,Platinum,721
CUST-000023,114,13,5248700.0,3,4,4,11,Loyal Customers,Occasional Buyer,Male,29,Millennial (25–34),Tangerang,Gold,1076
CUST-000024,162,4,807900.0,2,2,2,6,Hibernating,Inactive / Churned,Male,18,Gen Z (18–24),Bali,Bronze,765
CUST-000025,226,4,681700.0,2,2,1,5,Hibernating,Occasional Buyer,Male,24,Gen Z (18–24),Jakarta,Bronze,1000
CUST-000026,22,14,4854100.0,5,4,4,13,Champions,Occasional Buyer,Female,21,Gen Z (18–24),Surabaya,Platinum,803
CUST-000027,22,28,7905900.0,5,5,5,15,Champions,VIP — High Spender,Male,38,Gen X (35–44),Medan,Silver,991
CUST-000028,15,22,14221100.0,5,5,5,15,Champions,VIP — High Spender,Female,29,Millennial (25–34),Semarang,Gold,831
CUST-000029,49,15,11082500.0,4,5,5,14,Champions,Occasional Buyer,Female,29,Millennial (25–34),Medan,Silver,520
CUST-000030,222,5,2243700.0,2,3,3,8,At Risk,Occasional Buyer,Male,31,Millennial (25–34),Bekasi,Bronze,1087
CUST-000031,44,36,15678000.0,4,5,5,14,Champions,VIP — High Spender,Female,24,Gen Z (18–24),Tangerang,Gold,1276
CUST-000032,147,16,7201200.0,2,5,5,12,Cannot Lose Them,Occasional Buyer,Male,45,Baby Boomer (45–54),Bandung,Silver,1138
CUST-000033,195,5,3146800.0,2,3,4,9,At Risk,Inactive / Churned,Male,43,Gen X (35–44),Jakarta,Silver,520
CUST-000034,116,11,6369700.0,3,4,4,11,Loyal Customers,Occasional Buyer,Female,46,Baby Boomer (45–54),Jakarta,Silver,904
